Titre,Artiste,Mapper,Date de création,Date de ranked,État de la carte,Nominator,Genre,Langue,Playcount,Likes,Length,BPM,Circle Count,Slider Count,Circle Size,HP Drain,Accuracy,Approach Rate,Star Rating,Game Mode,Difficultés,URL
Chung Kuo Hua-Chinese,S.H.E.,shindrgon,2008-07-06,2008-11-03,CLASSÉE,"m980, James",Pop,Chinois,194 232,128,2:15,100,236,62,5,5,5,5,"2,54",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1943
Chung Kuo Hua-Chinese,S.H.E.,shindrgon,2008-07-06,2008-11-03,CLASSÉE,"m980, James",Pop,Chinois,194 232,128,2:13,100,381,54,5,0,8,8,"3,54",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1943
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/1944
Starforce Theme,unknown,Neku,2008-07-06,2008-07-06,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,0:59,"130,43",21,1,5,5,5,5,"1,01",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1945
Heart Wave,Sonia Strumm,Neku,2008-07-06,2008-07-06,CIMETIÈRE,,Tous,Non spécifiée,0,1,0:58,"285,71",45,0,5,5,5,5,"1,34",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1946
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/1947
Until Death,Silent Hill,SirDekar,2008-07-06,2008-07-06,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,0:51,"95,23",23,19,5,5,5,5,"1,39",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1948
YangGuangZhaiNan,Jay,longlongago,2008-07-06,2008-07-06,EN ATTENTE,,Tous,Non spécifiée,0,3,0:16,"133,82",0,4,5,5,5,5,"0,75",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1949
Black Or White,Michael Jackson,LeMoonwalker,2008-07-06,2008-09-07,,"MaxwellDemon, Dakeyrus",Pop,Anglais,393 107,435,2:16,"115,03",240,20,4,4,4,4,"2,55",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1950
Black Or White,Michael Jackson,LeMoonwalker,2008-07-06,2008-09-07,,"MaxwellDemon, Dakeyrus",Pop,Anglais,393 107,435,2:16,"115,03",271,19,5,6,6,6,"2,95",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1950
ff9 battle theme,nobuo uematsu,cloudoscuro,2008-07-06,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:12,"160,2",86,1,3,3,3,3,"2,22",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1951
ff9 battle theme,nobuo uematsu,cloudoscuro,2008-07-06,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:12,160,113,3,5,6,6,6,"2,33",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1951
Video Games,Black Out,Pokebis,2008-07-06,2008-07-17,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,2:43,132,172,32,5,5,5,5,"2,69",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1952
Video Games,Black Out,Pokebis,2008-07-06,2008-07-17,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,2:43,132,272,62,6,5,7,7,"3,39",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1952
His World,Zebrahead,MAB,2008-07-06,2008-07-06,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,4:13,"89,13",340,28,5,5,5,5,"3,20",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1953
Basement Clash,Magnificent Romeo,numbers,2008-07-06,2008-07-10,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:50,124,209,6,6,7,5,5,"2,79",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1954
Basement Clash,Magnificent Romeo,numbers,2008-07-06,2008-07-10,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:50,124,209,6,6,7,5,5,"2,80",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1954
Super Mario Bros 2 OC ReMix,Insomnic,kingcobra52,2008-07-06,2008-08-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,2:30,"119,94",100,56,4,3,4,4,"1,92",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1955
Super Mario Bros 2 OC ReMix,Insomnic,kingcobra52,2008-07-06,2008-08-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,2:30,"119,94",120,72,5,4,5,5,"2,07",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1955
Super Mario Bros 2 OC ReMix,Insomnic,kingcobra52,2008-07-06,2008-08-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,2:30,"119,94",198,98,5,6,6,6,"2,84",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1955
Super Mario Bros 2 OC ReMix,Insomnic,kingcobra52,2008-07-06,2008-08-07,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,2:30,"119,94",364,88,6,6,7,7,"4,23",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/1955
Monkey Island Opening Theme,Michael Land,LuigiHann,2008-07-06,2009-06-30,,"RemmyX25, Zerostarry",Jeu vidéo,Instrumentale,60 959,46,2:48,175,156,42,4,3,3,3,"2,47",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1956
Monkey Island Opening Theme,Michael Land,LuigiHann,2008-07-06,2009-06-30,,"RemmyX25, Zerostarry",Jeu vidéo,Instrumentale,60 959,46,2:48,175,191,44,5,4,4,4,"2,78",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1956
Monkey Island Opening Theme,Michael Land,LuigiHann,2008-07-06,2009-06-30,,"RemmyX25, Zerostarry",Jeu vidéo,Instrumentale,60 959,46,2:51,175,246,125,5,4,5,5,"3,68",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1956
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/1957
